,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation1,param_batch_size,param_dropout1,param_epochs,param_input_dim,param_loss,param_optimizer,param_units1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
725,51.34442050457001,7.373938902910566,0.4319803714752197,0.1857200879748699,elu,128,0.15,500,954,categorical_crossentropy,adam,1500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.7428571581840515,0.6714285612106323,0.699999988079071,0.7285714149475098,0.7285714149475098,0.6428571343421936,0.699999988079071,0.699999988079071,0.6142857074737549,0.6571428775787354,0.68857142329216,0.0392792196354964,808
726,36.95212821960449,4.232183509120125,0.3587473154067993,0.06351327954543219,elu,128,0.15,1500,954,categorical_crossentropy,adam,100,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.7428571581840515,0.7285714149475098,0.7428571581840515,0.8285714387893677,0.6857143044471741,0.7428571581840515,0.699999988079071,0.7285714149475098,0.7142857313156128,0.6571428775787354,0.7271428644657135,0.04307089463228332,166
727,50.24026248455048,4.280131890595295,0.4367130517959595,0.14045290340008534,elu,128,0.15,1500,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.699999988079071,0.7142857313156128,0.699999988079071,0.8142856955528259,0.7857142686843872,0.7428571581840515,0.7285714149475098,0.7285714149475098,0.6000000238418579,0.6857143044471741,0.7199999988079071,0.055032447247989294,255
728,74.25724461078644,4.529452672707678,0.4430309057235718,0.10712719205133257,elu,128,0.15,1500,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.7285714149475098,0.6857143044471741,0.7714285850524902,0.7428571581840515,0.7714285850524902,0.7428571581840515,0.6857143044471741,0.6714285612106323,0.6571428775787354,0.6857143044471741,0.7142857253551483,0.03989782845257714,339
729,98.3981749534607,10.997391109583031,0.379668664932251,0.07720887917280331,elu,128,0.15,1500,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.7571428418159485,0.6714285612106323,0.7428571581840515,0.7857142686843872,0.7142857313156128,0.7571428418159485,0.6571428775787354,0.7428571581840515,0.7285714149475098,0.6428571343421936,0.7199999988079071,0.04526565156208816,255
730,119.45565052032471,6.381379116837132,0.38004460334777834,0.10786879320476767,elu,128,0.15,1500,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.7285714149475098,0.7142857313156128,0.800000011920929,0.7857142686843872,0.7714285850524902,0.7428571581840515,0.6714285612106323,0.7142857313156128,0.7142857313156128,0.6857143044471741,0.7328571498394012,0.03992339461581553,118
731,158.04133808612823,19.83606970916544,0.3757080078125,0.09554063093374032,elu,128,0.15,1500,954,categorical_crossentropy,adam,1500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 1500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.7285714149475098,0.6571428775787354,0.7428571581840515,0.7285714149475098,0.7428571581840515,0.7285714149475098,0.699999988079071,0.7142857313156128,0.699999988079071,0.6714285612106323,0.7114285707473755,0.027701027335108576,402
732,72.85270011425018,9.891616153682682,0.39119150638580324,0.13498493472773856,elu,128,0.15,3000,954,categorical_crossentropy,adam,100,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 3000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.6857143044471741,0.6000000238418579,0.800000011920929,0.7857142686843872,0.7285714149475098,0.7428571581840515,0.699999988079071,0.699999988079071,0.7142857313156128,0.699999988079071,0.7157142877578735,0.05285713769294327,318
733,99.22466950416565,4.8440192609956085,0.4316361904144287,0.167899335715435,elu,128,0.15,3000,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 3000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.699999988079071,0.7285714149475098,0.7285714149475098,0.800000011920929,0.7714285850524902,0.7714285850524902,0.7142857313156128,0.7428571581840515,0.7285714149475098,0.7428571581840515,0.7428571462631226,0.02857143580913777,33
734,138.69825875759125,14.732598466445952,0.353878116607666,0.11412274072591494,elu,128,0.15,3000,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 3000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.7285714149475098,0.7428571581840515,0.8285714387893677,0.7714285850524902,0.7714285850524902,0.7428571581840515,0.7428571581840515,0.7285714149475098,0.699999988079071,0.7428571581840515,0.7500000059604645,0.03273269003880053,11
735,180.71052680015563,24.362579614581264,0.3506247282028198,0.05928803049004403,elu,128,0.15,3000,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 3000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.7285714149475098,0.7285714149475098,0.7714285850524902,0.7857142686843872,0.7285714149475098,0.7428571581840515,0.6428571343421936,0.7857142686843872,0.699999988079071,0.7285714149475098,0.734285706281662,0.04050699203111201,116
736,228.66503932476044,11.558095221959611,0.4147933483123779,0.09064281006238667,elu,128,0.15,3000,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 3000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.7428571581840515,0.6857143044471741,0.7428571581840515,0.800000011920929,0.7714285850524902,0.7571428418159485,0.7285714149475098,0.7285714149475098,0.7142857313156128,0.699999988079071,0.7371428608894348,0.032071350303895005,74
737,304.3498056411743,37.87826724554162,0.3672702074050903,0.12821699303862175,elu,128,0.15,3000,954,categorical_crossentropy,adam,1500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 3000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.7142857313156128,0.699999988079071,0.7285714149475098,0.7857142686843872,0.7142857313156128,0.7285714149475098,0.7142857313156128,0.699999988079071,0.699999988079071,0.7142857313156128,0.7199999988079071,0.02407470937317828,255
738,122.99911365509033,19.26298484398677,0.4050305366516113,0.11411438513117486,elu,128,0.15,5000,954,categorical_crossentropy,adam,100,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.6428571343421936,0.6857143044471741,0.7571428418159485,0.7571428418159485,0.7285714149475098,0.7857142686843872,0.7142857313156128,0.7142857313156128,0.7428571581840515,0.7428571581840515,0.7271428585052491,0.03857142351292076,173
739,152.56285095214844,26.37404099964024,0.3487003564834595,0.0686167018796811,elu,128,0.15,5000,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.7285714149475098,0.699999988079071,0.7857142686843872,0.800000011920929,0.7857142686843872,0.7571428418159485,0.7142857313156128,0.7571428418159485,0.7285714149475098,0.7285714149475098,0.7485714197158814,0.03207134871089288,16
